50432524,1,12,,,47,,,,,,,,,,,,,,,,,11
25540637,,1,39,2,10,2,,1,,,,,,,,,,,,,,6
34049495,2,46,11,,226,1,,8,,10,7,,,,,,,,,,2,13
64434153,6,11,16,,10,1,2,5,,,,,1,,,2,1,,,,3,4
48749102,19,13,7,9,,,,,,,1,1,,17,,,,,,,,1
30627070,1,3,254,1,,10,,1,,,,,,1,,,,,,,,3
41239488,7,52,49,,5,3,,1,,,,,,2,,,1,,,,1,5
58113614,119,91,115,4,56,3,62,12,,9,13,,,1,1,,5,,,,51,26
38905008,254,23,2,3,,4,99,1,,,,1,4,,,1,2,,,,58,6
47955524,160,42,5,1,1,,23,,,,,,13,3,6,1,13,,,,39,10
25535241,192,90,6,3,1,2,1,1,,,,,32,7,,,71,,,,119,39
28488983,175,83,8,8,,,1,,,,,,12,3,1,,68,,,,118,50
43451964,31,219,59,1,93,3,,13,,1,19,2,,9,,4,4,,,,20,23
24807991,,1,254,,,,,,,,,,9,,,,,,,,10
51166567,254,10,9,1,,1,61,1,,,,,2,13,1,,4,,,,43
68120586,53,5,,,,,14,,,,,,,1,,,,,,,18
27122967,1,15,186,32,,,,,,,,,,7,,13,,,,,1,119
16120134,,83,254,,2,,,,,,1,,,,1,,6,,,,25,14
35176013,2,9,174,,2,5,,,,2,,,1,1,,,1,,,,2,1
78235322,23,66,46,2,34,1,,,,,3,,1,3,1,,2,,,,6,6
71699049,6,24,33,1,5,7,,1,,,1,,,,,,2,,,,1,1
29689124,2,33,12,,254,,,2,,2,11,,,,,,,,,,,1
37049726,249,106,39,5,9,3,15,,,,1,,6,13,,1,53,,1,,136,53
27683540,16,34,180,22,15,,,8,,,1,,4,,,2,13,,,,12,149
20366771,217,20,,,,,52,,,1,,,,11,,,,,,,43
37488722,8,26,61,,5,9,,,,,,,,,,,1
31134999,,3,1,,59,,,,,,1,,,,,,,,,,,3
66640066,43,35,22,3,3,5,,1,,,,,29,5,1,1,49,,,,31,27
26617007,2,,129
27068012,,4,16,2,210,1,,2,,4,,,,,,,1,,,,,9
64788824,3,17,24,5,4,5,,1,,,,,1,,,,,,,,,3
